# stamp_est0 stamp_est1 stamp_gt0 stamp_gt1 trans_error rot_error trans_relative_pose_gt rot_relative_pose_gt
1305031109.543294 1305031109.575362 1305031109.545800 1305031109.575700 0.001189 0.000932 0.012353 0.000989
1305031109.575362 1305031109.611310 1305031109.575700 1305031109.615800 0.003381 0.001954 0.015852 0.008077
1305031109.611310 1305031109.643229 1305031109.615800 1305031109.645700 0.000836 0.005727 0.011421 0.003561
1305031109.643229 1305031109.675263 1305031109.645700 1305031109.675700 0.004275 0.003799 0.011607 0.004656
1305031109.675263 1305031109.711312 1305031109.675700 1305031109.715700 0.003423 0.005900 0.015954 0.013239
1305031109.711312 1305031109.743274 1305031109.715700 1305031109.745700 0.002822 0.005607 0.011992 0.007518
1305031109.743274 1305031109.775277 1305031109.745700 1305031109.775800 0.004144 0.005377 0.012068 0.003923
1305031109.775277 1305031109.811371 1305031109.775800 1305031109.815700 0.003842 0.003313 0.016581 0.007894
1305031109.811371 1305031109.843296 1305031109.815700 1305031109.845700 0.001006 0.001953 0.012716 0.007033
1305031109.843296 1305031109.875306 1305031109.845700 1305031109.875800 0.003366 0.005403 0.013336 0.009711
1305031109.875306 1305031109.911265 1305031109.875800 1305031109.915800 0.007643 0.003702 0.017745 0.014419
1305031109.911265 1305031109.943299 1305031109.915800 1305031109.945700 0.007544 0.011880 0.013329 0.013366
1305031109.943299 1305031109.975258 1305031109.945700 1305031109.975800 0.003811 0.007526 0.013626 0.012997
1305031109.975258 1305031110.011256 1305031109.975800 1305031110.015700 0.005438 0.004368 0.017718 0.017167
1305031110.011256 1305031110.043299 1305031110.015700 1305031110.045700 0.002096 0.003105 0.012705 0.012910
1305031110.043299 1305031110.075319 1305031110.045700 1305031110.075700 0.002152 0.002376 0.012320 0.008745
1305031110.075319 1305031110.111325 1305031110.075700 1305031110.115700 0.001953 0.005522 0.015593 0.017191
1305031110.111325 1305031110.143432 1305031110.115700 1305031110.145800 0.007407 0.006794 0.011035 0.007929
1305031110.143432 1305031110.175641 1305031110.145800 1305031110.175700 0.007132 0.004230 0.010968 0.006142
1305031110.175641 1305031110.211637 1305031110.175700 1305031110.215800 0.005982 0.005528 0.013574 0.009461
1305031110.211637 1305031110.243323 1305031110.215800 1305031110.245700 0.004438 0.003940 0.009744 0.008185
1305031110.243323 1305031110.279321 1305031110.245700 1305031110.275700 0.002462 0.005076 0.009610 0.006711
1305031110.279321 1305031110.311404 1305031110.275700 1305031110.315700 0.000828 0.003925 0.012724 0.011913
1305031110.311404 1305031110.343355 1305031110.315700 1305031110.345700 0.002670 0.003066 0.010205 0.009374
1305031110.343355 1305031110.379281 1305031110.345700 1305031110.375700 0.001973 0.001740 0.010408 0.013213
1305031110.379281 1305031110.411469 1305031110.375700 1305031110.415700 0.006264 0.008894 0.014728 0.016165
1305031110.411469 1305031110.443260 1305031110.415700 1305031110.445700 0.003077 0.006022 0.011463 0.014127
1305031110.443260 1305031110.479331 1305031110.445700 1305031110.475700 0.005765 0.008243 0.011245 0.016794
1305031110.479331 1305031110.511429 1305031110.475700 1305031110.515700 0.003471 0.001069 0.014750 0.016919
1305031110.511429 1305031110.543408 1305031110.515700 1305031110.545700 0.004777 0.006662 0.010792 0.013651
1305031110.543408 1305031110.579426 1305031110.545700 1305031110.575700 0.003140 0.004884 0.010226 0.014621
1305031110.579426 1305031110.611307 1305031110.575700 1305031110.615700 0.011974 0.010301 0.012757 0.009876
1305031110.611307 1305031110.643418 1305031110.615700 1305031110.645700 0.002533 0.002941 0.008316 0.008762
1305031110.643418 1305031110.679606 1305031110.645700 1305031110.675700 0.008506 0.011827 0.007325 0.007000
1305031110.679606 1305031110.711412 1305031110.675700 1305031110.715700 0.005076 0.003079 0.008322 0.008813
1305031110.711412 1305031110.743249 1305031110.715700 1305031110.745700 0.001953 0.005822 0.004905 0.005477
1305031110.743249 1305031110.779193 1305031110.745700 1305031110.775800 0.003349 0.005545 0.003805 0.002469
1305031110.779193 1305031110.811386 1305031110.775800 1305031110.815700 0.000641 0.002921 0.003523 0.006441
1305031110.811386 1305031110.843218 1305031110.815700 1305031110.845700 0.002567 0.003520 0.001414 0.005523
1305031110.843218 1305031110.879313 1305031110.845700 1305031110.875700 0.002720 0.003570 0.000245 0.003762
1305031110.879313 1305031110.911333 1305031110.875700 1305031110.915800 0.001910 0.005506 0.001735 0.007255
1305031110.911333 1305031110.943862 1305031110.915800 1305031110.945700 0.002964 0.006996 0.002912 0.006200
1305031110.943862 1305031110.979345 1305031110.945700 1305031110.975700 0.007228 0.007535 0.004477 0.004829
1305031110.979345 1305031111.011431 1305031110.975700 1305031111.015700 0.003225 0.005604 0.007753 0.013550
1305031111.011431 1305031111.043327 1305031111.015700 1305031111.045800 0.004121 0.006589 0.006818 0.008260
1305031111.043327 1305031111.079283 1305031111.045800 1305031111.075700 0.004863 0.006013 0.007443 0.006864
1305031111.079283 1305031111.111508 1305031111.075700 1305031111.115700 0.006034 0.007936 0.010704 0.009864
1305031111.111508 1305031111.143257 1305031111.115700 1305031111.145700 0.002463 0.005413 0.008615 0.007347
1305031111.143257 1305031111.179326 1305031111.145700 1305031111.175700 0.002569 0.006171 0.009414 0.011653
1305031111.179326 1305031111.211433 1305031111.175700 1305031111.215700 0.007803 0.004656 0.013017 0.017952
1305031111.211433 1305031111.243236 1305031111.215700 1305031111.245800 0.006233 0.011147 0.009708 0.005211
1305031111.243236 1305031111.279308 1305031111.245800 1305031111.275700 0.001271 0.005453 0.010837 0.014054
